@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Juventus,Fiorentina,2,1,H,1,0,19,4,4,1,3,1,11,16,1,3,0,0,1,0.826087
Roma,Udinese,4,0,H,0,0,25,11,9,1,10,5,8,14,0,2,0,0,0,0.694444
Atalanta,Lazio,3,4,A,0,3,19,11,6,6,7,2,5,16,2,2,0,0,-3,0.633333
Bologna,Crotone,1,0,H,0,0,20,5,6,0,5,3,7,17,1,1,0,0,0,0.8
Chievo,Inter,2,0,H,0,0,12,13,4,3,4,8,15,13,2,4,0,0,0,0.48
Empoli,Sampdoria,0,1,A,0,1,8,15,3,5,2,5,17,32,3,4,1,0,-1,0.347826
Genoa,Cagliari,3,1,H,0,0,22,4,6,3,6,1,13,10,4,3,0,0,0,0.846154
Milan,Torino,3,2,H,1,0,11,20,5,4,10,10,13,20,0,3,1,0,1,0.354839
Palermo,Sassuolo,0,1,A,0,1,7,22,2,8,4,8,19,15,1,2,1,0,-1,0.241379
Pescara,Napoli,2,2,H,2,0,9,22,3,4,3,9,10,12,3,2,0,0,2,0.290323
Lazio,Juventus,0,1,A,0,0,6,13,1,5,4,2,16,5,1,2,0,0,0,0.315789
Napoli,Milan,4,2,H,2,0,17,12,8,3,9,4,13,15,5,4,0,2,2,0.586207
Cagliari,Roma,2,2,H,0,1,17,21,5,7,4,3,21,9,3,1,0,0,-1,0.447368
Crotone,Genoa,1,3,A,1,0,11,18,3,8,1,6,16,17,2,2,0,0,1,0.37931
Fiorentina,Chievo,1,0,H,1,0,13,9,3,2,4,4,8,16,0,2,0,0,1,0.590909
Inter,Palermo,1,1,H,0,0,22,7,5,3,8,4,16,24,1,5,0,0,0,0.758621
Sampdoria,Atalanta,2,1,H,2,1,8,7,4,1,3,1,13,16,1,4,0,1,1,0.533333
Sassuolo,Pescara,0,3,A,0,0,13,15,3,5,2,7,12,21,2,2,0,0,0,0.464286
Torino,Bologna,5,1,H,2,1,20,10,11,2,6,3,14,12,1,2,0,0,1,0.666667
Udinese,Empoli,2,0,H,1,0,11,13,3,4,4,5,15,19,3,3,0,1,1,0.458333
Juventus,Sassuolo,3,1,H,3,1,23,9,10,3,14,5,10,12,1,2,0,0,2,0.71875
Palermo,Napoli,0,3,A,0,0,5,17,1,7,2,4,14,7,0,0,0,0,0,0.227273
Atalanta,Torino,2,1,H,0,0,22,14,3,7,4,4,16,20,2,2,0,0,0,0.611111
Bologna,Cagliari,2,1,H,1,0,17,11,10,5,9,4,13,9,1,3,0,1,1,0.607143
Chievo,Lazio,1,1,H,0,0,7,11,4,3,2,1,14,15,2,5,0,0,0,0.388889
Milan,Udinese,0,1,A,0,0,14,10,2,2,8,8,10,9,1,5,0,0,0,0.583333
Pescara,Inter,1,2,A,0,0,10,22,5,7,3,13,14,10,1,1,0,0,0,0.3125
Roma,Sampdoria,3,2,H,1,2,24,12,8,7,11,7,12,13,3,2,0,0,-1,0.666667
Empoli,Crotone,2,1,H,1,1,13,6,5,2,5,0,16,20,1,1,0,1,0,0.684211
Sampdoria,Milan,0,1,A,0,0,12,10,3,3,8,5,12,16,2,3,0,0,0,0.545455
Lazio,Pescara,3,0,H,0,0,23,10,11,3,11,2,12,14,2,2,0,0,0,0.69697
Napoli,Bologna,3,1,H,1,0,21,9,10,3,6,3,11,7,0,1,0,1,1,0.7
Cagliari,Atalanta,3,0,H,1,0,12,7,9,2,3,4,10,19,2,2,0,0,1,0.631579
Crotone,Palermo,1,1,H,1,0,11,12,1,5,3,7,19,9,3,2,0,0,1,0.478261
Fiorentina,Roma,1,0,H,0,0,8,14,4,3,5,6,10,11,1,1,0,0,0,0.363636
Inter,Juventus,2,1,H,0,0,16,9,3,2,5,4,13,18,2,3,1,0,0,0.64
Sassuolo,Genoa,2,0,H,0,0,11,17,6,5,3,8,15,17,0,2,0,1,0,0.392857
Torino,Empoli,0,0,H,0,0,15,5,5,2,8,5,19,7,4,3,0,0,0,0.75
Udinese,Chievo,1,2,A,1,0,8,20,4,6,5,7,16,9,3,4,0,0,1,0.285714
Milan,Lazio,2,0,H,1,0,17,20,8,5,3,8,16,12,1,4,0,0,1,0.459459
Atalanta,Palermo,0,1,A,0,0,16,7,4,2,7,5,20,12,3,2,0,0,0,0.695652
Bologna,Sampdoria,2,0,H,1,0,11,10,4,3,2,4,16,12,1,3,1,1,1,0.52381
Chievo,Sassuolo,2,1,H,2,1,5,7,3,2,7,9,14,15,2,1,0,0,1,0.416667
Empoli,Inter,0,2,A,0,2,9,13,3,4,5,4,14,15,1,4,0,0,-2,0.409091
Genoa,Napoli,0,0,H,0,0,12,14,5,3,5,8,16,11,4,2,0,0,0,0.461538
Juventus,Cagliari,4,0,H,3,0,28,2,13,0,9,0,19,12,1,3,0,0,3,0.933333
Pescara,Torino,0,0,H,0,0,19,11,4,3,9,4,13,15,3,2,0,2,0,0.633333
Roma,Crotone,4,0,H,2,0,20,11,7,3,11,5,12,7,0,1,0,0,2,0.645161
Udinese,Fiorentina,2,2,H,2,1,15,7,5,3,4,3,16,15,1,3,0,0,1,0.681818
Napoli,Chievo,2,0,H,2,0,13,7,5,2,4,2,12,16,2,4,0,0,2,0.65
Palermo,Juventus,0,1,A,0,0,4,15,2,7,2,9,16,10,3,3,0,0,0,0.210526
Fiorentina,Milan,0,0,H,0,0,20,12,5,1,6,3,10,12,2,4,0,0,0,0.625
Genoa,Pescara,1,1,H,0,0,8,12,4,4,1,5,22,10,2,3,2,0,0,0.4
Inter,Bologna,1,1,H,1,1,22,8,6,3,8,4,12,7,0,4,0,0,0,0.733333
Lazio,Empoli,2,0,H,1,0,12,9,3,3,5,6,14,7,2,2,0,0,1,0.571429
Sassuolo,Udinese,1,0,H,1,0,12,11,5,3,6,9,14,12,3,2,0,0,1,0.521739
